,Close-Close Change,Volume,Annualised 30D Volatility,Future 1D,Future 3D,Future 5D,Future 10D,1D increase,3D increase,5D increase,10D increase
2018-03-20,1.0014817982100468,3261030000,0.1897513698947615,0.9981560137507636,0.9526378941014523,0.961603863169595,0.973407583531473,False,False,False,False
2018-03-21,0.9981560137507636,3415510000,0.18327772143698848,0.9748371086274352,0.9803166010922112,0.9605705162006396,0.9818985003300237,False,False,False,False
2018-03-22,0.9748371086274352,3739800000,0.19711146040122088,0.9790330938952752,0.9882474874134258,0.9989333091247461,0.9851646751321071,False,False,False,False
2018-03-23,0.9790330938952752,3815080000,0.17454252759829172,1.0271572407717926,1.00646766553592,0.997535023529321,1.0096203627147198,True,True,False,True
2018-03-26,1.0271572407717926,3511100000,0.18670757167548369,0.982723665155818,0.9933497583269076,0.9834120103063702,0.9993680765830999,False,False,False,False
2018-03-27,0.982723665155818,3706350000,0.18918883846663526,0.9970833875573181,0.9882340332692855,1.0122750342567999,1.0113181404107754,False,False,True,True
2018-03-28,0.9970833875573181,3864500000,0.18908202516847064,1.0137696737044146,1.0036276391554704,1.022203454894434,1.0226449136276388,True,True,True,True
2018-03-29,1.0137696737044146,3565990000,0.1893222487007656,0.9776626641977834,1.0014464930117728,0.9862166634480307,1.0058427715109035,False,True,False,True
2018-04-02,0.9776626641977834,3598520000,0.1953971242894513,1.0126148387996343,1.0313569956775686,1.0121152028754243,1.0371667157265245,True,True,True,True
2018-04-03,1.0126148387996343,3392810000,0.19975231269562166,1.0115664862590603,0.9961827535428103,1.0162252098911817,1.0351660961196423,True,False,True,True
2018-04-04,1.0115664862590603,3350340000,0.2027315287191133,1.0068628081173976,0.988077997799364,0.9990547096257029,1.0241805277745208,True,False,False,True
2018-04-05,1.0068628081173976,3178970000,0.20341266518734408,0.9780797945051148,0.997758032777035,1.0004318697330665,1.0113750732300844,False,False,True,True
2018-04-06,0.9780797945051148,3299700000,0.21268129048875725,1.0033365713561684,1.0144827930442661,1.0199004020011746,1.0252143430333231,True,True,True,True
2018-04-09,1.0033365713561684,3062960000,0.20686876239311605,1.016726874741692,1.0194515452555524,1.0247516416905198,1.0218624194461872,True,True,True,True
2018-04-10,1.016726874741692,3543930000,0.2101298370339912,0.9944747014343946,0.9997854618404358,1.0186384730905156,0.991602901158129,False,False,True,False
2018-04-11,0.9944747014343946,3020760000,0.20779550064317745,1.008250731400845,1.0134925951578042,1.0251495918158793,0.9989440577702582,True,True,True,False
2018-04-12,1.008250731400845,3021320000,0.20733784282283554,0.9971133525275996,1.0159159756605693,1.0109384794987968,1.0011073615141195,False,True,True,True
2018-04-13,0.9971133525275996,2960910000,0.20392190655251533,1.0081090238301396,1.0197040996875348,1.0052102548657906,1.0051236682603621,True,True,True,True
2018-04-16,1.0081090238301396,3019700000,0.20479072988147115,1.0106615779882293,1.0057098258297732,0.9971805634391898,0.9888753622322471,True,True,False,False
2018-04-17,1.0106615779882293,3234360000,0.2046187015682278,1.0008313657676828,0.9866057737428825,0.9734591097365863,0.9809377066867673,True,False,False,False
2018-04-18,1.0008313657676828,3383410000,0.2044756210118205,0.9942738791423004,0.9858416031661648,0.9744373560163035,0.9730602811743165,False,False,False,False
2018-04-19,0.9942738791423004,3349370000,0.20511159998655654,0.9914634644447168,0.9782520710103114,0.9902752559289748,0.9764586187818636,False,False,False,False
2018-04-20,0.9914634644447168,3388590000,0.2059288333728385,1.0000561768296794,0.9884874950377134,0.9999138621944919,0.9974832780303657,True,False,False,False
2018-04-23,1.0000561768296794,3017480000,0.19865687904761412,0.9866194308483348,0.9987454546135439,0.9916713165985718,1.0008763093147188,False,False,False,True
2018-04-24,0.9866194308483348,3706740000,0.20169535915423076,1.0018371189116968,1.0134178003158023,1.0076824972670961,1.0141807360621893,True,True,True,True
2018-04-25,1.0018371189116968,3499440000,0.20146472185107545,1.010434189588543,1.0032772599833295,0.9985868000303098,1.0221224520724406,True,True,False,True
2018-04-26,1.010434189588543,3665720000,0.20393059513374487,1.0011136358523252,0.9954479665834253,0.9860476801127886,1.021046592724246,True,False,False,True
2018-04-27,1.0011136358523252,3219030000,0.20401698496605605,0.9918124580978386,0.9871755976793225,0.997569206452652,1.0216524152499524,False,False,False,True
2018-04-30,0.9918124580978386,3734530000,0.20494375268772252,1.0025490455240649,0.993081701629501,1.0092823020713357,1.0309963935726292,True,False,True,True
2018-05-01,1.0025490455240649,3559850000,0.20142959109476105,0.992794184119331,1.003246948922706,1.0064486967003163,1.02133870724725,False,True,True,True
2018-05-02,0.992794184119331,4010770000,0.20220525536786893,0.9977463035964291,1.014022999844442,1.023568959695258,1.0329290085632878,False,True,True,True
2018-05-03,0.9977463035964291,3851470000,0.2022247776861609,1.012811201149928,1.016043472143528,1.0354941381814864,1.0343761526848765,True,True,True,True
2018-05-04,1.012811201149928,3327220000,0.19242197120630491,1.0034579600663809,1.0129044611814886,1.0241418927544288,1.0186039002485532,True,True,True,True
2018-05-07,1.0034579600663809,3237960000,0.18166412661865688,0.9997343440730666,1.018872795710592,1.0215143884488311,1.02259197868766,False,True,True,True
2018-05-08,0.9997343440730666,3717570000,0.16406073206759478,1.0096821761130572,1.0208838587981677,1.0147946046288812,1.0196562771340465,True,True,True,True
2018-05-09,1.0096821761130572,3909500000,0.15755565557828302,1.0093706329996035,1.011987589842056,1.0091445219976352,1.0131589189670067,True,True,True,True
2018-05-10,1.0093706329996035,3333050000,0.15884109982522107,1.00170763146008,0.9957327575126602,0.998920336238143,1.0017223207629629,True,False,False,True
2018-05-11,1.00170763146008,2862700000,0.15455177201846734,1.0008835217690966,0.9980716495828017,0.9945925534878947,0.9976573841889934,True,False,False,False
2018-05-14,1.0008835217690966,2972660000,0.13764816916335,0.9931578349748912,0.9963371707574366,1.0010548948218587,0.9852497866401971,False,False,True,False
2018-05-15,0.9931578349748912,3290680000,0.13602777939131488,1.00406055800402,1.000560585664497,1.0047907945932995,1.0046322078592647,True,True,True,True
2018-05-16,1.00406055800402,3202670000,0.1327822309144226,0.9991441563879728,1.0038751717196952,1.0039780198790804,0.9936858576434555,False,True,True,False
2018-05-17,0.9991441563879728,3475400000,0.1317010371674844,0.9973677728637969,1.0015844830945584,1.002805012995703,1.005326951285417,False,True,True,True
2018-05-18,0.9973677728637969,3368690000,0.11345997495107067,1.0073867385190405,1.00748994644246,1.0030814937135322,1.012495530728317,True,True,True,True
2018-05-21,1.0073867385190405,3019890000,0.11466583132887168,0.9968642632116238,0.9980790410572961,0.984211546975679,1.005777512705772,False,False,False,True
2018-05-22,0.9968642632116238,3366310000,0.10589252764559673,1.0032483739777716,0.9988584810089413,0.9998421693999504,1.0175852652288182,True,False,False,True
2018-05-23,1.0032483739777716,3326290000,0.1043377190344977,0.9979767971931264,0.9841107237065954,0.9897486179658949,1.0135660687303585,False,False,False,True
2018-05-24,0.9979767971931264,3256030000,0.10249587416715217,0.9976427544945302,0.9986252456227823,1.0025148840073907,1.0187956418453241,False,False,True,True
2018-05-25,0.9976427544945302,2995260000,0.10234137183004484,0.988435801611712,0.994098473907979,1.0093851168362529,1.0222942458283268,False,False,True,True
2018-05-29,0.988435801611712,3736890000,0.10599504997071336,1.0126958280356602,1.0166402712408826,1.0219119210665242,1.0360576386875158,True,True,True,True
2018-05-30,1.0126958280356602,3561050000,0.10789160861647076,0.9931204364154316,1.0083920396767998,1.0177458966743882,1.0189500038546113,False,True,True,True
2018-05-31,0.9931204364154316,4235370000,0.10982085532048126,1.0108491943502866,1.0160908153345136,1.0240641414720157,1.0285442857829348,True,True,True,True
2018-06-01,1.0108491943502866,3684130000,0.1128017273981893,1.0044795986279629,1.013797163774126,1.0162399163320683,1.0164702956900773,True,True,True,True
2018-06-04,1.0044795986279629,3376510000,0.1099793920506488,1.0007026178887244,1.0085551919093372,1.0127891017776602,1.0097856833414034,True,True,True,True
2018-06-05,1.0007026178887244,3517790000,0.10994877359116116,1.0085673748544821,1.0109975261932482,1.0138424039580909,1.0050167345750873,True,True,True,True
2018-06-06,1.0085673748544821,3651640000,0.10321712448748101,0.9992858044619186,1.003480801486104,1.0011831118004582,0.9981856547694196,False,True,True,False
2018-06-07,0.9992858044619186,3711330000,0.10345680281415973,1.003125936246783,1.0059486638968802,1.0043748668950356,0.9925605605027491,True,True,True,False
2018-06-08,1.003125936246783,3123210000,0.1001723171167746,1.0010687182218256,0.9987765515305699,1.0002266978046295,0.9913099174891963,True,False,True,False
2018-06-11,1.0010687182218256,3232330000,0.10017348828149536,1.0017433501078359,1.0001761322789358,0.9970345075485261,0.9766606757728258,True,True,False,False
2018-06-12,1.0017433501078359,3401010000,0.09596862714035233,0.9959739490822972,0.9974200261944487,0.9912948310816871,0.97711035757217,False,False,False,False
2018-06-13,0.9959739490822972,3779230000,0.09735821355594228,1.0024715109722837,0.9993226762933101,0.9970060851050035,0.9726188288784897,True,False,False,False
2018-06-14,1.0024715109722837,3526890000,0.09381159944313876,0.99898292536541,0.9928481324281488,0.9882371544911217,0.9762155479444677,False,False,False,False
2018-06-15,0.99898292536541,5428790000,0.09341196116015972,0.9978738406855516,0.9955606081319301,0.9910852406409423,0.9779505407136131,False,False,False,False
2018-06-18,0.9978738406855516,3287150000,0.08808420906551663,0.99597656602073,0.9913510590356021,0.9795655700766116,0.9830410094637227,False,False,False,False
2018-06-19,0.99597656602073,3661470000,0.0892039453297444,1.001712161413746,0.9972091406976791,0.9856909639142986,0.9821290890070552,True,False,False,False
2018-06-20,1.001712161413746,3327600000,0.08912123835607645,0.9936545105011348,0.9818416373964706,0.975539511151584,0.9889026205859827,False,False,False,False
2018-06-21,0.9936545105011348,3300060000,0.08794107988745607,1.0018619806819504,0.9902900616781103,0.987835301989992,1.0036585011055514,True,False,False,True
2018-06-22,1.0018619806819504,5450550000,0.08407948120063624,0.9862752642583344,0.9799446799860614,0.9867471541410153,1.0106320420490187,False,False,False,True
2018-06-25,0.9862752642583344,3655080000,0.0933775956725793,1.0022045806696185,0.9997202869267263,1.0035479395083675,1.0282547008358272,True,False,True,True
2018-06-26,1.0022045806696185,3555090000,0.09357846685418514,0.991395709238871,0.9982776729120914,0.996386418220678,1.0187142405969754,False,False,False,True
2018-06-27,0.991395709238871,3776090000,0.09481781475524352,1.0061786244781692,1.0100310042487302,1.0136981734533992,1.0365457488618812,True,True,True,True
2018-06-28,1.0061786244781692,3428140000,0.09582431104435446,1.0007583817752759,0.9988624273370856,1.0160180539040096,1.031292451892457,True,False,True,True
2018-06-29,1.0007583817752759,3565620000,0.0958216947465737,1.003068015023709,1.0067099033612057,1.0242056820815417,1.0294514727575717,True,True,True,True
2018-07-02,1.003068015023709,3073650000,0.09588724202603813,0.9950526458625962,1.0121428388057407,1.0246194131389115,1.0303809352663105,False,True,True,True
2018-07-03,0.9950526458625962,1911470000,0.0944919534386012,1.008620753200994,1.0261497408982687,1.022408798401899,1.0377411341505665,True,True,True,True
2018-07-05,1.008620753200994,2953420000,0.09744245393640777,1.0084812962022356,1.020912735099265,1.022538834543468,1.0248044112971886,True,True,True,True
2018-07-06,1.0084812962022356,2554780000,0.100026523737537,1.0088230391837147,1.0051452630968685,1.0150335891471183,1.0152220072323552,True,True,True,True
2018-07-09,1.0088230391837147,3050040000,0.10270245037885392,1.0034732074550046,1.0050715293965529,1.005121813682354,1.0081927468509464,True,True,True,True
2018-07-10,1.0034732074550046,3063850000,0.1025830157652622,0.9929058213784612,1.00267373936947,1.0056230850728747,1.0095066288692265,False,True,True,True
2018-07-11,0.9929058213784612,2964740000,0.0986055163935901,1.0087490356954891,1.008799503968969,1.0149962869770222,1.0259731364590017,True,True,True,True
2018-07-12,1.0087490356954891,2821690000,0.09515678247637516,1.0010792305300735,1.0040238860161026,1.0022156388365748,1.013990687169664,True,True,True,True
2018-07-13,1.0010792305300735,2614000000,0.09224325923553213,0.9989719095708792,1.0051083243196932,1.000185627438591,1.006250647018716,False,True,True,True
2018-07-16,0.9989719095708792,2812230000,0.08773750855693688,1.003973656657483,1.0021654999410383,1.003055284570277,1.0014901212465563,True,True,True,True
2018-07-17,1.003973656657483,3050730000,0.08756440500410499,1.0021604883344306,0.9972522290046446,1.0038618284066843,1.0023989606876549,True,False,True,True
2018-07-18,1.0021604883344306,3089780000,0.08765697342854595,0.9960470518038655,0.996931404095723,1.0108146695931979,0.9991973348676311,False,False,True,False
2018-07-19,0.9960470518038655,3266700000,0.08552069167060998,0.9990515209538988,1.0056730457231082,1.0117490167552747,1.0081048604202545,False,True,True,True
2018-07-20,0.9990515209538988,3230210000,0.08554986635105777,1.001838084394842,1.0157896803160793,1.0060638939550226,1.013748157454235,True,True,True,True
2018-07-23,1.001838084394842,2907430000,0.08527301797217714,1.0047809389450584,1.010851520139082,0.9984396041297053,1.0154685818922828,True,True,False,True
2018-07-24,1.0047809389450584,3417530000,0.08621930410230241,1.0091015458800172,0.9994397957736493,0.998542759892214,1.0134909941852215,True,False,False,True
2018-07-25,1.0091015458800172,3553010000,0.08972867844866164,0.996967748509348,0.9847263068020112,0.9885069587185135,1.0040863365974833,False,False,False,True
2018-07-26,0.996967748509348,3653330000,0.08931751687997441,0.9934377467012518,0.9925460978910567,0.9963981617232434,1.005688226006541,False,False,False,True
2018-07-27,0.9934377467012518,3415710000,0.09161230094480667,0.9942458191725616,0.9980630192775699,1.0076379477937571,1.0051298060890725,False,False,True,True
2018-07-30,0.9942458191725616,3245770000,0.09328439022131578,1.004884749875116,1.0087846999215013,1.0170555912367085,1.0068971669164346,True,True,True,True
2018-07-31,1.004884749875116,3892100000,0.09391687286514493,0.9989596241864296,1.0085431542916385,1.0149700492491889,1.0084046742345423,False,True,True,True
2018-08-01,0.9989596241864296,3496990000,0.09305563821479848,1.0049264935877384,1.0131657519833934,1.0157605141183494,1.001780788807689,True,True,True,True
2018-08-02,1.0049264935877384,3467380000,0.09384528170515877,1.0046441380578799,1.0110461867134495,1.0093236465503213,1.004764397535388,True,True,True,True
2018-08-03,1.0046441380578799,3030390000,0.09203189876288917,1.0035382963367192,1.00610840213354,0.9975108701392438,1.0034432376291655,True,True,False,True
2018-08-06,1.0035382963367192,2874540000,0.09228083322417256,1.0028241650294694,1.0011156328936288,0.990011928150435,1.0023330058939097,True,True,False,True
2018-08-07,1.0028241650294694,3162770000,0.08085303100104166,0.9997376200388324,0.9911945285032101,0.9935314593573443,1.001577778166489,False,False,False,True
2018-08-08,0.9997376200388324,2972200000,0.08103645451167296,0.9985582811351786,0.9874829408265389,0.9862371837491689,1.0014417188648215,False,False,False,True
2018-08-09,0.9985582811351786,3047050000,0.07566241471021268,0.9928861290028668,0.9952270481290171,0.9954828671353176,1.001191485782771,False,False,False,True
2018-08-10,0.9928861290028668,3256040000,0.07881398150859957,0.995994042240795,0.9947375480009033,1.0059471707702732,1.0146155692342442,False,False,True,True
2018-08-13,0.995994042240795,3158450000,0.08035516304944687,1.006389244240644,1.0066479324433986,1.0124453831243156,1.0265102252713565,True,True,True,True
2018-08-14,1.006389244240644,2976970000,0.08157206220503951,0.9923977802504259,1.0035810363526247,1.0080987056155721,1.0202678910970575,False,True,True,True
2018-08-15,0.9923977802504259,3645070000,0.08369405495316977,1.0079194711836983,1.0137242448649397,1.0154167124969398,1.0339451526946422,True,True,True,True
2018-08-16,1.0079194711836983,3219880000,0.08318280111908316,1.0033231362802701,1.007839644593391,1.0057345222463556,1.0212765208452876,True,True,True,True
2018-08-17,1.0033231362802701,3024100000,0.08059382178228419,1.002427959426412,1.0041015672969302,1.0086171507966302,1.0180307564918094,True,True,True,True
2018-08-20,1.002427959426412,2748020000,0.07732416053182578,1.0020685672284348,0.9999754992037241,1.013891951488423,1.0138849512609158,True,False,True,True
2018-08-21,1.0020685672284348,3147140000,0.07702030712714418,0.9996018107133876,1.0040971581859335,1.0120714225836198,1.0089557660603015,False,True,True,True
2018-08-22,0.9996018107133876,2689560000,0.07339637591413818,0.9983087685458903,1.012202025284609,1.0182471294490916,1.0056712162190495,False,True,True,True
2018-08-23,0.9983087685458903,2713910000,0.07003991267099352,1.00619885333464,1.0141898088191026,1.015453380842708,1.0051452932817169,True,True,True,True
2018-08-24,1.00619885333464,2596190000,0.0718287103432004,1.0076703922857768,1.0136884324918511,1.0093331802733514,1.0008487871735736,True,True,True,True
2018-08-27,1.0076703922857768,2854080000,0.07421365026070738,1.000269268211852,1.0015154967308078,0.9999930956868759,0.9969448414424495,True,True,False,False
2018-08-28,1.000269268211852,2683190000,0.07376943828599214,1.0057014274275933,1.0013804909025652,0.9969215052872803,0.9970319445594857,True,True,False,False
2018-08-29,1.0057014274275933,2791860000,0.07494189573703285,0.995569724506184,0.994056361614803,0.9876494488751014,0.9966163813811755,False,False,False,False
2018-08-30,0.995569724506184,2802180000,0.07523688729616912,1.0001344303771291,0.9956809932681404,0.9898487830603936,1.0013270691075549,True,False,False,True
2018-08-31,1.0001344303771291,2880260000,0.07504078590901328,0.9983456946703796,0.9919111362320439,0.9915940610438668,0.9956160908765063,False,False,False,False
2018-09-04,0.9983456946703796,3077060000,0.07545488882432025,0.9971968295175232,0.9913557402855641,0.9969517247093264,1.0026202049214286,False,False,False,True
2018-09-05,0.9971968295175232,3241250000,0.07540698978274411,0.9963477116942464,0.9960292183064463,1.0001107803088003,1.0066987467977568,False,False,True,True
2018-09-06,0.9963477116942464,3139590000,0.07220939567445299,0.9977866958530948,1.0034189816021264,1.0090790639495493,1.0183110091902505,False,True,True,True
2018-09-07,0.9977866958530948,2946270000,0.0719112563028095,1.001897843770894,1.0060034544238914,1.011595999554268,1.020193754178739,True,True,True,True
2018-09-10,1.001897843770894,2731400000,0.06890090133065517,1.003739837963526,1.0094017301964109,1.0040561253749398,1.014681296986928,True,True,True,True
2018-09-11,1.003739837963526,2899660000,0.0666400102920598,1.0003566617842092,1.005917815429258,1.0056858121327337,1.0095813898728832,True,True,True,True
2018-09-12,1.0003566617842092,3264930000,0.06563584092978676,1.0052822508065298,0.9999584619857942,1.006587236752835,1.0059018595184361,True,False,True,True
2018-09-13,1.0052822508065298,3254930000,0.06659827068526565,1.000275465019386,1.0000447630656504,1.0091488819563526,1.003381333112962,True,True,True,True
2018-09-14,1.000275465019386,3149800000,0.06561371839642527,0.9944302542530414,1.0010223822539226,1.0084991979290738,1.00309812804219,False,True,True,True
2018-09-17,0.9944302542530414,2947760000,0.06722481900745918,1.0053690113541955,1.0145216006646356,1.0105822486845746,1.012389227360842,True,True,True,True
2018-09-18,1.0053690113541955,3074610000,0.06812992481820103,1.0012533097362195,1.0087318502501454,1.0038735534429863,1.006583319273769,True,True,True,True
2018-09-19,1.0012533097362195,3280020000,0.06784255543826323,1.0078405749754982,1.003927165185096,0.9993191079626542,1.0060386182706034,True,True,False,True
2018-09-20,1.0078405749754982,3337730000,0.07096006477187415,0.9996314936449716,0.9948170263584408,0.9942847394011776,0.9900571526059887,False,False,False,False
2018-09-21,0.9996314936449716,5607610000,0.07072648438346146,0.996484245665894,0.991910351677834,0.9946444480095029,0.9849471100840711,False,False,False,False
2018-09-24,0.996484245665894,3372210000,0.06790183569999657,0.9986949239048152,0.9981605620390704,1.001788057012301,0.9880316643659424,False,False,True,False
2018-09-25,0.9986949239048152,3285480000,0.06660799834189697,0.9967107519653172,0.9994580800943903,1.0026993099095887,0.987919987926848,False,False,True,False
2018-09-26,0.9967107519653172,3388620000,0.06582792820589438,1.0027632769780832,1.0064074990450695,1.0067240886863942,0.9586059043968106,True,True,True,False
2018-09-27,1.0027632769780832,3060850000,0.061047646281044025,0.9999931365820178,1.003236101578586,0.9957481125600549,0.9362971859986271,False,True,False,False
2018-09-28,0.9999931365820178,3432300000,0.05760127700905155,1.0036410682297066,1.0039567876237998,0.9902504478410971,0.9496050075841288,True,True,False,False
2018-10-01,1.0036410682297066,3364190000,0.0577268503213971,0.9996033632064664,0.9921424883487941,0.9862681606652555,0.9405728666240396,False,False,False,False
2018-10-02,0.9996033632064664,3401880000,0.05764331274640055,1.0007114930065029,0.9870494590258705,0.9852604645912507,0.9611723215537914,True,False,False,False
2018-10-03,1.0007114930065029,3598710000,0.05751215368436782,0.9918304842574456,0.9859580039035927,0.9522032055949214,0.9602462476628004,False,False,False,False
2018-10-04,0.9918304842574456,3496860000,0.06298352410498198,0.9944720344911964,0.9926695868845227,0.9402952154148903,0.9542219664255361,False,False,False,False
2018-10-05,0.9944720344911964,3328980000,0.06507343673227392,0.9996049307415864,0.9653829226114767,0.9589543833627323,0.9591796421504241,False,False,False,False
2018-10-08,0.9996049307415864,3330320000,0.06267679267385291,0.9985820422059124,0.9458957228984581,0.9536684890948992,0.955433135836196,False,False,False,False
2018-10-09,0.9985820422059124,3520500000,0.05856339130876595,0.9671358242429712,0.9606956123235451,0.9755514973926689,0.9515161404556403,False,False,False,False
2018-10-10,0.9671358242429712,4501250000,0.11131561304915157,0.9794269262801184,0.9874752304643752,1.0084467706269207,0.9534835300537029,False,False,True,False
2018-10-11,0.9794269262801184,4890630000,0.12247002648993185,1.014206284338268,1.0298896410677438,1.0148110410244946,0.9916433621539599,True,True,True,False
2018-10-12,1.014206284338268,3966040000,0.13108025392027914,0.9940949648191448,1.0152070918243814,1.000234900420291,0.9608113821902114,False,True,True,False
2018-10-15,0.9940949648191448,3300140000,0.13157695120528792,1.021495643069809,1.00653993943558,1.0018503775279097,0.9601787122971943,True,True,True,False
2018-10-16,1.021495643069809,3428340000,0.14781717015914772,0.9997473237672246,0.9850031317617581,0.9753622878943168,0.9546997779296205,False,False,False,False
2018-10-17,0.9997473237672246,3321710000,0.147727320591009,0.9856080535097056,0.9810160151786443,0.9454971326458325,0.9653034127032154,False,False,False,False
2018-10-18,0.9856080535097056,3616440000,0.15267114300075435,0.9996388300984548,0.9898547374655983,0.977170450523335,0.989739163097104,False,False,False,False
2018-10-19,0.9996388300984548,3566490000,0.15266336518570572,0.9957005253307704,0.9596499721798695,0.9605857401961138,0.9838426464531139,False,False,False,False
2018-10-22,0.9957005253307704,3307140000,0.15263335593931754,0.9944881489760076,0.981744488148976,0.958405300666212,0.9936245409814648,False,False,False,False
2018-10-23,0.9944881489760076,4348580000,0.15228672463590828,0.9691355096709222,0.9700805271665166,0.9788155537474144,1.005385505110027,False,False,False,True
2018-10-24,0.9691355096709222,4709310000,0.17396726724225006,1.0186250517676294,0.994409096043071,1.02094800647566,1.0594066488460523,True,False,True,True
2018-10-25,1.0186250517676294,4634770000,0.18335738595642748,0.982672782445104,0.9915211951640507,1.0128623543282933,1.0374264942322688,False,False,True,True
2018-10-26,0.982672782445104,4803150000,0.1882466560676206,0.9934403785322848,1.0199534357145812,1.0242111716672497,1.0460076202942044,False,True,True,True
2018-10-29,0.9934403785322848,4673700000,0.18839135467049375,1.0156668244202556,1.0375276857548508,1.0367477520113577,1.0321703738760044,True,True,True,True
2018-10-30,1.0156668244202556,5106380000,0.1945876355560177,1.0108512914565182,1.015071031040434,1.027145003224447,1.0147429947476907,True,True,True,True
2018-10-31,1.0108512914565182,5112420000,0.19818152659329635,1.01055779683893,1.0097981369895341,1.0376695405901741,0.9962533281214269,True,True,True,False
2018-11-01,1.01055779683893,4708420000,0.19953559006174326,0.9936833347321712,1.0055029065418168,1.024252199520502,0.9962888223123143,False,True,True,False
2018-11-02,0.9936833347321712,4237930000,0.19981618127636971,1.0056003172901071,1.0333558570138,1.0212812057024077,1.0048511600919543,True,True,True,True
2018-11-05,1.0056003172901071,3623320000,0.20109974394516114,1.0062593351373657,1.0250227329995507,0.9955848680390454,0.9826243193794706,True,True,False,False
2018-11-06,1.0062593351373657,3510860000,0.2025344411787443,1.0212088769529477,1.0092761617884554,0.9879257471556365,0.958787130958645,True,True,False,False
2018-11-07,1.0212088769529477,3914750000,0.21313893817042784,0.9974910177725498,0.9688438425098348,0.9600872813080822,0.9417319084967781,False,False,False,False
2018-11-08,0.9974910177725498,3630490000,0.21288080876928114,0.9908010103925068,0.9698414225300424,0.9726987384344611,0.937912164256474,False,False,False,False
2018-11-09,0.9908010103925068,4019090000,0.21411128148633699,0.9802985246367324,0.9714384342379205,0.983912319624884,0.961323404087004,False,False,False,False
2018-11-12,0.9802985246367324,3670930000,0.21988233802912724,0.998518094651202,1.0014598968535187,0.9869819750423662,0.983842096382537,False,True,False,False
2018-11-13,0.998518094651202,4091440000,0.2198255372252849,0.9924325356883088,1.0051759986481423,0.9705052568162281,1.007938490474546,False,True,False,True
2018-11-14,0.9924325356883088,4402370000,0.2201553232971972,1.0105938006647959,0.995983831683681,0.9808815581992756,1.0134069692550283,True,False,False,True
